"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Beauséjour","F2015",2,"F2015:Beauséjour:Ann Bastarache:Conservative","Conservative","Ann Bastarache","F2015:Beauséjour",6017,11.37,NA,NA,FALSE
"Beauséjour","F2015",0,"F2015:Beauséjour:Dominic LeBlanc:Liberal","Liberal","Dominic LeBlanc","F2015:Beauséjour",36534,69.02,NA,"77614.48",TRUE
"Beauséjour","F2015",1,"F2015:Beauséjour:Hélène Boudreau:New Democratic","New Democratic","Hélène Boudreau","F2015:Beauséjour",8009,15.13,NA,"24161.02",FALSE
"Beauséjour","F2015",3,"F2015:Beauséjour:Kevin King:Green","Green","Kevin King","F2015:Beauséjour",2376,4.49,NA,"1009.07",FALSE
"Bellechasse-Les Etchemins-Lévis","F2015",4,"F2015:Bellechasse-Les Etchemins-Lévis:André Bélisle:Green","Green","André Bélisle","F2015:Bellechasse-Les Etchemins-Lévis",2032,3.25,NA,"85188.63",FALSE
"Bellechasse-Les Etchemins-Lévis","F2015",3,"F2015:Bellechasse-Les Etchemins-Lévis:Antoine Dubé:Bloc Québécois","Bloc Québécois","Antoine Dubé","F2015:Bellechasse-Les Etchemins-Lévis",7217,11.53,NA,"17164.62",FALSE
"Bellechasse-Les Etchemins-Lévis","F2015",1,"F2015:Bellechasse-Les Etchemins-Lévis:Jacques Turgeon:Liberal","Liberal","Jacques Turgeon","F2015:Bellechasse-Les Etchemins-Lévis",12961,20.71,NA,"20553.28",FALSE
"Bellechasse-Les Etchemins-Lévis","F2015",2,"F2015:Bellechasse-Les Etchemins-Lévis:Jean-Luc Daigle:New Democratic","New Democratic","Jean-Luc Daigle","F2015:Bellechasse-Les Etchemins-Lévis",8516,13.6,NA,"11888.3",FALSE
"Bellechasse-Les Etchemins-Lévis","F2015",0,"F2015:Bellechasse-Les Etchemins-Lévis:Steven Blaney:Conservative","Conservative","Steven Blaney","F2015:Bellechasse-Les Etchemins-Lévis",31872,50.92,NA,"74383.13",TRUE
"Beloeil-Chambly","F2015",3,"F2015:Beloeil-Chambly:Claude Chalhoub:Conservative","Conservative","Claude Chalhoub","F2015:Beloeil-Chambly",6173,9.29,NA,"3916.18",FALSE
"Beloeil-Chambly","F2015",4,"F2015:Beloeil-Chambly:Fodé Kerfalla Yansané:Green","Green","Fodé Kerfalla Yansané","F2015:Beloeil-Chambly",1498,2.25,NA,"2528.52",FALSE
"Beloeil-Chambly","F2015",1,"F2015:Beloeil-Chambly:Karine Desjardins:Liberal","Liberal","Karine Desjardins","F2015:Beloeil-Chambly",19494,29.34,NA,"13921.3",FALSE
"Beloeil-Chambly","F2015",0,"F2015:Beloeil-Chambly:Matthew Dubé:New Democratic","New Democratic","Matthew Dubé","F2015:Beloeil-Chambly",20641,31.07,NA,"37588.92",TRUE
"Beloeil-Chambly","F2015",2,"F2015:Beloeil-Chambly:Yves Lessard:Bloc Québécois","Bloc Québécois","Yves Lessard","F2015:Beloeil-Chambly",18387,27.68,NA,"42490.04",FALSE
"Berthier-Maskinongé","F2015",3,"F2015:Berthier-Maskinongé:Marianne Foucrault:Conservative","Conservative","Marianne Foucrault","F2015:Berthier-Maskinongé",5548,10.2,NA,"6268.53",FALSE
"Berthier-Maskinongé","F2015",2,"F2015:Berthier-Maskinongé:Pierre Destrempes:Liberal","Liberal","Pierre Destrempes","F2015:Berthier-Maskinongé",11032,20.28,NA,"6302.22",FALSE
"Berthier-Maskinongé","F2015",0,"F2015:Berthier-Maskinongé:Ruth Ellen Brosseau:New Democratic","New Democratic","Ruth Ellen Brosseau","F2015:Berthier-Maskinongé",22942,42.17,NA,"37968.71",TRUE
"Berthier-Maskinongé","F2015",4,"F2015:Berthier-Maskinongé:Victoria Cate May Burton:Green","Green","Victoria Cate May Burton","F2015:Berthier-Maskinongé",847,1.56,NA,NA,FALSE
"Berthier-Maskinongé","F2015",1,"F2015:Berthier-Maskinongé:Yves Perron:Bloc Québécois","Bloc Québécois","Yves Perron","F2015:Berthier-Maskinongé",14037,25.8,NA,"30493.57",FALSE
"Bonavista-Burin-Trinity","F2015",2,"F2015:Bonavista-Burin-Trinity:Jenn Brown:New Democratic","New Democratic","Jenn Brown","F2015:Bonavista-Burin-Trinity",2557,7.29,NA,"616.65",FALSE
"Bonavista-Burin-Trinity","F2015",0,"F2015:Bonavista-Burin-Trinity:Judy M. Foote:Liberal","Liberal","Judy M. Foote","F2015:Bonavista-Burin-Trinity",28704,81.8,NA,"40957.22",TRUE
"Bonavista-Burin-Trinity","F2015",1,"F2015:Bonavista-Burin-Trinity:Mike Windsor:Conservative","Conservative","Mike Windsor","F2015:Bonavista-Burin-Trinity",3534,10.07,NA,"7929.44",FALSE
"Bonavista-Burin-Trinity","F2015",3,"F2015:Bonavista-Burin-Trinity:Tyler John Colbourne:Green","Green","Tyler John Colbourne","F2015:Bonavista-Burin-Trinity",297,0.85,NA,NA,FALSE
"Bourassa","F2015",2,"F2015:Bourassa:Dolmine Laguerre:New Democratic","New Democratic","Dolmine Laguerre","F2015:Bourassa",6144,14.94,NA,"3229.14",FALSE
"Bourassa","F2015",0,"F2015:Bourassa:Emmanuel Dubourg:Liberal","Liberal","Emmanuel Dubourg","F2015:Bourassa",22234,54.06,NA,"37690.66",TRUE
"Bourassa","F2015",1,"F2015:Bourassa:Gilles Léveillé:Bloc Québécois","Bloc Québécois","Gilles Léveillé","F2015:Bourassa",7049,17.13,NA,"16012.89",FALSE
"Bourassa","F2015",3,"F2015:Bourassa:Jason Potasso-Justino:Conservative","Conservative","Jason Potasso-Justino","F2015:Bourassa",3819,9.29,NA,"3258.29",FALSE
"Bourassa","F2015",4,"F2015:Bourassa:Maxime Charron:Green","Green","Maxime Charron","F2015:Bourassa",886,2.15,NA,NA,FALSE
"Bow River","F2015",2,"F2015:Bow River:Lynn MacWilliam:New Democratic","New Democratic","Lynn MacWilliam","F2015:Bow River",2622,5.25,NA,"1102.35",FALSE
"Bow River","F2015",0,"F2015:Bow River:Martin Shields:Conservative","Conservative","Martin Shields","F2015:Bow River",38701,77.42,NA,"79588.4",TRUE
"Bow River","F2015",3,"F2015:Bow River:Rita Ann Fromholt:Green","Green","Rita Ann Fromholt","F2015:Bow River",919,1.84,NA,NA,FALSE
"Bow River","F2015",1,"F2015:Bow River:William MacDonald Alexander:Liberal","Liberal","William MacDonald Alexander","F2015:Bow River",6840,13.68,NA,"2815.97",FALSE
"Brampton Centre","F2015",1,"F2015:Brampton Centre:Bal Gosal:Conservative","Conservative","Bal Gosal","F2015:Brampton Centre",13345,33.67,NA,"183194.43",FALSE
